snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
1829,1765111060369,1765111060373,4
1830,1765111060395,1765111060416,21
1831,1765111060420,1765111060433,13
1832,1765111060446,1765111060449,3
1833,1765111060472,1765111060481,9
1834,1765111060497,1765111060519,22
1835,1765111060524,1765111060535,11
1836,1765111060549,1765111060556,7
1837,1765111060576,1765111060591,15
1838,1765111060602,1765111060606,4
1839,1765111060627,1765111060639,12
1840,1765111060653,1765111060656,3
1841,1765111060680,1765111060688,8
1842,1765111060705,1765111060721,16
1843,1765111060731,1765111060736,5
1844,1765111060757,1765111060769,12
1845,1765111060782,1765111060785,3
1846,1765111060808,1765111060817,9
1847,1765111060833,1765111060849,16
1848,1765111060859,1765111060865,6
1849,1765111060884,1765111060896,12
1850,1765111060911,1765111060913,2
1851,1765111060937,1765111060945,8
1852,1765111060962,1765111060977,15
1853,1765111060988,1765111060992,4
1854,1765111061014,1765111061024,10
1855,1765111061040,1765111061057,17
1856,1765111061066,1765111061073,7
1857,1765111061092,1765111061106,14
1858,1765111061118,1765111061122,4
1859,1765111061145,1765111061154,9
1860,1765111061171,1765111061186,15
1861,1765111061197,1765111061202,5
1862,1765111061223,1765111061236,13
1863,1765111061250,1765111061265,15
1864,1765111061277,1765111061282,5
1865,1765111061303,1765111061314,11
1866,1765111061328,1765111061329,1
1867,1765111061354,1765111061361,7
1868,1765111061380,1765111061394,14
1869,1765111061405,1765111061413,8
1870,1765111061431,1765111061434,3
1871,1765111061457,1765111061470,13
1872,1765111061483,1765111061486,3
1873,1765111061509,1765111061518,9
1874,1765111061534,1765111061550,16
1875,1765111061560,1765111061566,6
1876,1765111061586,1765111061597,11
1877,1765111061612,1765111061613,1
1878,1765111061638,1765111061644,6
1879,1765111061664,1765111061675,11
1880,1765111061689,1765111061691,2
1881,1765111061715,1765111061723,8
1882,1765111061742,1765111061753,11
1883,1765111061768,1765111061784,16
1884,1765111061795,1765111061800,5
1885,1765111061820,1765111061832,12
1886,1765111061846,1765111061847,1
1887,1765111061872,1765111061878,6
1888,1765111061898,1765111061909,11
1889,1765111061924,1765111061941,17
1890,1765111061950,1765111061956,6
1891,1765111061976,1765111061988,12
1892,1765111062001,1765111062005,4
1893,1765111062027,1765111062037,10
1894,1765111062053,1765111062071,18
1895,1765111062079,1765111062086,7
1896,1765111062104,1765111062118,14
1897,1765111062130,1765111062133,3
1898,1765111062156,1765111062164,8
1899,1765111062182,1765111062199,17
1900,1765111062208,1765111062214,6
1901,1765111062233,1765111062246,13
1902,1765111062259,1765111062262,3
1903,1765111062284,1765111062294,10
1904,1765111062310,1765111062327,17
1905,1765111062337,1765111062343,6
1906,1765111062364,1765111062378,14
1907,1765111062390,1765111062398,8
1908,1765111062417,1765111062431,14
1909,1765111062442,1765111062452,10
1910,1765111062468,1765111062495,27
1911,1765111062495,1765111062515,20
1912,1765111062521,1765111062531,10
1913,1765111062547,1765111062562,15
1914,1765111062572,1765111062577,5
1915,1765111062600,1765111062611,11
1916,1765111062626,1765111062634,8
1917,1765111062652,1765111062657,5
1918,1765111062678,1765111062691,13
1919,1765111062704,1765111062707,3
1920,1765111062730,1765111062739,9
1921,1765111062756,1765111062771,15
1922,1765111062782,1765111062788,6
1923,1765111062807,1765111062823,16
1924,1765111062833,1765111062838,5
1925,1765111062858,1765111062872,14
1926,1765111062884,1765111062893,9
1927,1765111062910,1765111062925,15
1928,1765111062936,1765111062941,5
1929,1765111062962,1765111062972,10
1930,1765111062988,1765111062988,0
1931,1765111063013,1765111063019,6
1932,1765111063039,1765111063051,12
1933,1765111063064,1765111063067,3
1934,1765111063090,1765111063098,8
1935,1765111063116,1765111063130,14
1936,1765111063142,1765111063146,4
1937,1765111063168,1765111063193,25
1938,1765111063195,1765111063209,14
1939,1765111063220,1765111063225,5
1940,1765111063246,1765111063257,11
1941,1765111063271,1765111063286,15
1942,1765111063297,1765111063303,6
1943,1765111063322,1765111063335,13
1944,1765111063348,1765111063350,2
1945,1765111063374,1765111063383,9
1946,1765111063400,1765111063414,14
1947,1765111063427,1765111063430,3
1948,1765111063453,1765111063462,9
1949,1765111063480,1765111063495,15
1950,1765111063506,1765111063524,18
1951,1765111063532,1765111063540,8
1952,1765111063557,1765111063572,15
1953,1765111063583,1765111063588,5
1954,1765111063608,1765111063620,12
1955,1765111063634,1765111063636,2
1956,1765111063659,1765111063667,8
1957,1765111063685,1765111063699,14
1958,1765111063711,1765111063715,4
1959,1765111063737,1765111063747,10
1960,1765111063763,1765111063778,15
1961,1765111063789,1765111063795,6
1962,1765111063815,1765111063827,12
1963,1765111063841,1765111063844,3
1964,1765111063867,1765111063876,9
1965,1765111063893,1765111063899,6
1966,1765111063919,1765111063939,20
1967,1765111063945,1765111063955,10
1968,1765111063971,1765111063986,15
1969,1765111063996,1765111064002,6
1970,1765111064022,1765111064034,12
1971,1765111064049,1765111064064,15
1972,1765111064075,1765111064080,5
1973,1765111064102,1765111064111,9
1974,1765111064128,1765111064142,14
1975,1765111064153,1765111064157,4
1976,1765111064179,1765111064189,10
