snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
777,1765110231538,1765110231555,17
778,1765110231564,1765110231580,16
779,1765110231589,1765110231596,7
780,1765110231615,1765110231628,13
781,1765110231641,1765110231645,4
782,1765110231666,1765110231675,9
783,1765110231692,1765110231708,16
784,1765110231718,1765110231724,6
785,1765110231744,1765110231758,14
786,1765110231770,1765110231774,4
787,1765110231796,1765110231820,24
788,1765110231822,1765110231836,14
789,1765110231848,1765110231852,4
790,1765110231874,1765110231884,10
791,1765110231900,1765110231916,16
792,1765110231926,1765110231932,6
793,1765110231952,1765110231963,11
794,1765110231978,1765110231979,1
795,1765110232003,1765110232010,7
796,1765110232029,1765110232041,12
797,1765110232054,1765110232057,3
798,1765110232080,1765110232088,8
799,1765110232106,1765110232120,14
800,1765110232131,1765110232136,5
801,1765110232157,1765110232178,21
802,1765110232182,1765110232194,12
803,1765110232208,1765110232217,9
804,1765110232233,1765110232250,17
805,1765110232259,1765110232266,7
806,1765110232285,1765110232298,13
807,1765110232310,1765110232314,4
808,1765110232336,1765110232346,10
809,1765110232362,1765110232363,1
810,1765110232388,1765110232394,6
811,1765110232413,1765110232426,13
812,1765110232439,1765110232442,3
813,1765110232464,1765110232474,10
814,1765110232491,1765110232507,16
815,1765110232516,1765110232523,7
816,1765110232542,1765110232554,12
817,1765110232567,1765110232569,2
818,1765110232593,1765110232601,8
819,1765110232619,1765110232646,27
820,1765110232646,1765110232646,0
821,1765110232672,1765110232678,6
822,1765110232698,1765110232709,11
823,1765110232725,1765110232741,16
824,1765110232751,1765110232757,6
825,1765110232776,1765110232788,12
826,1765110232802,1765110232803,1
827,1765110232828,1765110232837,9
828,1765110232854,1765110232870,16
829,1765110232880,1765110232885,5
830,1765110232905,1765110232916,11
831,1765110232931,1765110232933,2
832,1765110232956,1765110232965,9
833,1765110232982,1765110232997,15
834,1765110233007,1765110233012,5
835,1765110233033,1765110233043,10
836,1765110233058,1765110233074,16
837,1765110233084,1765110233091,7
838,1765110233110,1765110233124,14
839,1765110233135,1765110233153,18
840,1765110233161,1765110233169,8
841,1765110233188,1765110233200,12
842,1765110233213,1765110233215,2
843,1765110233239,1765110233248,9
844,1765110233265,1765110233281,16
845,1765110233290,1765110233310,20
846,1765110233317,1765110233341,24
847,1765110233343,1765110233357,14
848,1765110233369,1765110233373,4
849,1765110233394,1765110233405,11
850,1765110233420,1765110233421,1
851,1765110233446,1765110233452,6
852,1765110233472,1765110233484,12
853,1765110233498,1765110233499,1
854,1765110233523,1765110233532,9
855,1765110233549,1765110233565,16
856,1765110233574,1765110233580,6
857,1765110233600,1765110233614,14
858,1765110233626,1765110233629,3
859,1765110233652,1765110233660,8
860,1765110233678,1765110233692,14
861,1765110233703,1765110233708,5
862,1765110233729,1765110233740,11
863,1765110233755,1765110233771,16
864,1765110233780,1765110233787,7
865,1765110233806,1765110233819,13
866,1765110233832,1765110233834,2
867,1765110233857,1765110233866,9
868,1765110233883,1765110233898,15
869,1765110233909,1765110233914,5
870,1765110233934,1765110233947,13
871,1765110233959,1765110233977,18
872,1765110233986,1765110233993,7
873,1765110234011,1765110234026,15
874,1765110234037,1765110234041,4
875,1765110234062,1765110234072,10
876,1765110234088,1765110234103,15
877,1765110234113,1765110234118,5
878,1765110234139,1765110234150,11
879,1765110234164,1765110234167,3
880,1765110234190,1765110234197,7
881,1765110234215,1765110234228,13
882,1765110234241,1765110234243,2
883,1765110234266,1765110234274,8
884,1765110234292,1765110234305,13
885,1765110234317,1765110234320,3
886,1765110234343,1765110234353,10
887,1765110234369,1765110234383,14
888,1765110234394,1765110234400,6
889,1765110234420,1765110234432,12
890,1765110234446,1765110234449,3
891,1765110234471,1765110234480,9
892,1765110234497,1765110234511,14
893,1765110234522,1765110234528,6
894,1765110234548,1765110234560,12
895,1765110234573,1765110234575,2
896,1765110234599,1765110234608,9
897,1765110234625,1765110234639,14
898,1765110234651,1765110234654,3
899,1765110234677,1765110234683,6
900,1765110234703,1765110234715,12
901,1765110234729,1765110234731,2
902,1765110234754,1765110234762,8
903,1765110234780,1765110234793,13
904,1765110234806,1765110234809,3
905,1765110234832,1765110234841,9
906,1765110234858,1765110234873,15
907,1765110234883,1765110234888,5
908,1765110234909,1765110234920,11
909,1765110234934,1765110234936,2
910,1765110234960,1765110234969,9
911,1765110234985,1765110235002,17
912,1765110235011,1765110235018,7
913,1765110235036,1765110235050,14
914,1765110235062,1765110235066,4
915,1765110235087,1765110235097,10
916,1765110235113,1765110235128,15
917,1765110235138,1765110235144,6
918,1765110235164,1765110235176,12
919,1765110235189,1765110235194,5
920,1765110235215,1765110235225,10
921,1765110235241,1765110235257,16
922,1765110235266,1765110235273,7
923,1765110235292,1765110235303,11
924,1765110235317,1765110235319,2
925,1765110235343,1765110235351,8
926,1765110235369,1765110235383,14
927,1765110235394,1765110235398,4
928,1765110235420,1765110235430,10
929,1765110235446,1765110235446,0
930,1765110235471,1765110235478,7
931,1765110235497,1765110235510,13
932,1765110235523,1765110235526,3
933,1765110235549,1765110235558,9
934,1765110235574,1765110235604,30
935,1765110235600,1765110235604,4
936,1765110235626,1765110235639,13
937,1765110235652,1765110235667,15
938,1765110235678,1765110235683,5
939,1765110235704,1765110235715,11
940,1765110235729,1765110235730,1
941,1765110235755,1765110235762,7
942,1765110235781,1765110235794,13
943,1765110235808,1765110235810,2
944,1765110235833,1765110235841,8
945,1765110235859,1765110235871,12
946,1765110235885,1765110235886,1
947,1765110235910,1765110235918,8
948,1765110235936,1765110235950,14
949,1765110235961,1765110235966,5
950,1765110235987,1765110235996,9
951,1765110236013,1765110236029,16
952,1765110236039,1765110236045,6
953,1765110236064,1765110236076,12
954,1765110236090,1765110236092,2
955,1765110236116,1765110236124,8
956,1765110236141,1765110236155,14
957,1765110236167,1765110236171,4
958,1765110236192,1765110236204,12
959,1765110236218,1765110236220,2
960,1765110236244,1765110236251,7
961,1765110236270,1765110236283,13
962,1765110236295,1765110236299,4
963,1765110236321,1765110236345,24
964,1765110236347,1765110236362,15
965,1765110236373,1765110236377,4
966,1765110236399,1765110236409,10
967,1765110236425,1765110236440,15
968,1765110236450,1765110236455,5
969,1765110236476,1765110236487,11
970,1765110236501,1765110236503,2
971,1765110236527,1765110236534,7
972,1765110236552,1765110236565,13
973,1765110236578,1765110236582,4
974,1765110236603,1765110236614,11
975,1765110236629,1765110236630,1
976,1765110236654,1765110236662,8
977,1765110236680,1765110236693,13
978,1765110236705,1765110236708,3
979,1765110236731,1765110236755,24
980,1765110236757,1765110236785,28
981,1765110236784,1765110236786,2
982,1765110236810,1765110236832,22
983,1765110236836,1765110236848,12
984,1765110236862,1765110236880,18
985,1765110236887,1765110236895,8
986,1765110236913,1765110236928,15
987,1765110236939,1765110236958,19
988,1765110236964,1765110236974,10
989,1765110236990,1765110237005,15
990,1765110237016,1765110237021,5
991,1765110237041,1765110237051,10
992,1765110237067,1765110237082,15
993,1765110237092,1765110237098,6
994,1765110237118,1765110237130,12
995,1765110237144,1765110237146,2
996,1765110237169,1765110237179,10
997,1765110237195,1765110237211,16
998,1765110237221,1765110237227,6
999,1765110237247,1765110237272,25
1000,1765110237273,1765110237289,16
1001,1765110237298,1765110237304,6
1002,1765110237324,1765110237337,13
1003,1765110237349,1765110237354,5
1004,1765110237374,1765110237386,12
1005,1765110237400,1765110237403,3
1006,1765110237425,1765110237434,9
1007,1765110237451,1765110237466,15
1008,1765110237477,1765110237482,5
1009,1765110237503,1765110237513,10
1010,1765110237529,1765110237546,17
1011,1765110237556,1765110237562,6
1012,1765110237582,1765110237594,12
1013,1765110237608,1765110237610,2
1014,1765110237633,1765110237642,9
1015,1765110237660,1765110237672,12
1016,1765110237685,1765110237688,3
1017,1765110237711,1765110237720,9
1018,1765110237737,1765110237751,14
1019,1765110237762,1765110237766,4
1020,1765110237788,1765110237798,10
1021,1765110237814,1765110237831,17
1022,1765110237840,1765110237847,7
1023,1765110237865,1765110237878,13
1024,1765110237891,1765110237893,2
1025,1765110237917,1765110237925,8
1026,1765110237942,1765110237957,15
1027,1765110237968,1765110237973,5
1028,1765110237994,1765110238005,11
1029,1765110238021,1765110238037,16
1030,1765110238047,1765110238053,6
1031,1765110238072,1765110238085,13
1032,1765110238098,1765110238102,4
1033,1765110238124,1765110238134,10
1034,1765110238150,1765110238166,16
1035,1765110238176,1765110238182,6
1036,1765110238201,1765110238214,13
1037,1765110238227,1765110238229,2
1038,1765110238253,1765110238260,7
1039,1765110238278,1765110238291,13
1040,1765110238304,1765110238308,4
1041,1765110238330,1765110238339,9
1042,1765110238355,1765110238372,17
1043,1765110238381,1765110238388,7
1044,1765110238407,1765110238421,14
1045,1765110238433,1765110238437,4
1046,1765110238459,1765110238468,9
1047,1765110238485,1765110238499,14
1048,1765110238510,1765110238515,5
1049,1765110238536,1765110238547,11
1050,1765110238561,1765110238563,2
1051,1765110238587,1765110238597,10
1052,1765110238612,1765110238629,17
1053,1765110238638,1765110238646,8
1054,1765110238664,1765110238677,13
1055,1765110238690,1765110238693,3
1056,1765110238716,1765110238723,7
1057,1765110238742,1765110238755,13
1058,1765110238767,1765110238770,3
1059,1765110238793,1765110238803,10
1060,1765110238819,1765110238835,16
1061,1765110238845,1765110238852,7
1062,1765110238871,1765110238883,12
1063,1765110238897,1765110238899,2
1064,1765110238923,1765110238929,6
1065,1765110238949,1765110238962,13
1066,1765110238975,1765110238977,2
1067,1765110239000,1765110239009,9
1068,1765110239026,1765110239041,15
1069,1765110239052,1765110239058,6
1070,1765110239078,1765110239090,12
1071,1765110239103,1765110239106,3
1072,1765110239129,1765110239138,9
1073,1765110239156,1765110239170,14
1074,1765110239181,1765110239201,20
1075,1765110239207,1765110239217,10
1076,1765110239233,1765110239249,16
1077,1765110239259,1765110239266,7
1078,1765110239285,1765110239298,13
1079,1765110239311,1765110239315,4
1080,1765110239336,1765110239346,10
1081,1765110239362,1765110239379,17
1082,1765110239388,1765110239396,8
1083,1765110239415,1765110239427,12
1084,1765110239441,1765110239457,16
1085,1765110239468,1765110239473,5
1086,1765110239493,1765110239505,12
1087,1765110239520,1765110239521,1
1088,1765110239546,1765110239566,20
1089,1765110239572,1765110239582,10
1090,1765110239598,1765110239615,17
1091,1765110239624,1765110239630,6
1092,1765110239649,1765110239662,13
1093,1765110239675,1765110239678,3
1094,1765110239700,1765110239709,9
1095,1765110239726,1765110239742,16
1096,1765110239751,1765110239757,6
1097,1765110239777,1765110239789,12
1098,1765110239802,1765110239805,3
1099,1765110239828,1765110239837,9
1100,1765110239854,1765110239869,15
1101,1765110239879,1765110239885,6
1102,1765110239905,1765110239917,12
1103,1765110239930,1765110239932,2
1104,1765110239955,1765110239964,9
1105,1765110239981,1765110239997,16
