snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
1864,1765121433595,1765121433603,8
1865,1765121433621,1765121433628,7
1866,1765121433647,1765121433659,12
1867,1765121433673,1765121433675,2
1868,1765121433698,1765121433707,9
1869,1765121433724,1765121433740,16
1870,1765121433749,1765121433756,7
1871,1765121433775,1765121433787,12
1872,1765121433801,1765121433817,16
1873,1765121433827,1765121433833,6
1874,1765121433853,1765121433865,12
1875,1765121433878,1765121433881,3
1876,1765121433904,1765121433919,15
1877,1765121433930,1765121433934,4
1878,1765121433955,1765121433968,13
1879,1765121433981,1765121433988,7
1880,1765121434007,1765121434023,16
1881,1765121434032,1765121434039,7
1882,1765121434058,1765121434071,13
1883,1765121434084,1765121434086,2
1884,1765121434109,1765121434119,10
1885,1765121434135,1765121434150,15
1886,1765121434161,1765121434166,5
1887,1765121434186,1765121434198,12
1888,1765121434212,1765121434213,1
1889,1765121434238,1765121434245,7
1890,1765121434263,1765121434277,14
1891,1765121434288,1765121434294,6
1892,1765121434314,1765121434325,11
1893,1765121434339,1765121434342,3
1894,1765121434365,1765121434373,8
1895,1765121434390,1765121434404,14
1896,1765121434417,1765121434421,4
1897,1765121434443,1765121434451,8
1898,1765121434468,1765121434481,13
1899,1765121434494,1765121434499,5
1900,1765121434520,1765121434529,9
1901,1765121434546,1765121434560,14
1902,1765121434573,1765121434591,18
1903,1765121434599,1765121434607,8
1904,1765121434625,1765121434638,13
1905,1765121434651,1765121434654,3
1906,1765121434676,1765121434686,10
1907,1765121434702,1765121434718,16
1908,1765121434728,1765121434734,6
1909,1765121434754,1765121434766,12
1910,1765121434780,1765121434781,1
1911,1765121434806,1765121434813,7
1912,1765121434833,1765121434845,12
1913,1765121434859,1765121434876,17
1914,1765121434886,1765121434892,6
1915,1765121434912,1765121434925,13
1916,1765121434938,1765121434955,17
1917,1765121434964,1765121434972,8
1918,1765121434990,1765121435003,13
1919,1765121435017,1765121435018,1
1920,1765121435043,1765121435055,12
1921,1765121435069,1765121435082,13
1922,1765121435094,1765121435098,4
1923,1765121435120,1765121435130,10
1924,1765121435146,1765121435161,15
1925,1765121435171,1765121435178,7
1926,1765121435197,1765121435209,12
1927,1765121435223,1765121435225,2
1928,1765121435248,1765121435257,9
1929,1765121435274,1765121435288,14
1930,1765121435299,1765121435305,6
1931,1765121435325,1765121435351,26
1932,1765121435351,1765121435368,17
1933,1765121435377,1765121435383,6
1934,1765121435402,1765121435415,13
1935,1765121435428,1765121435431,3
1936,1765121435453,1765121435463,10
1937,1765121435479,1765121435494,15
1938,1765121435505,1765121435510,5
1939,1765121435530,1765121435542,12
1940,1765121435556,1765121435558,2
1941,1765121435581,1765121435589,8
1942,1765121435607,1765121435621,14
1943,1765121435633,1765121435637,4
1944,1765121435658,1765121435669,11
1945,1765121435684,1765121435685,1
1946,1765121435710,1765121435731,21
1947,1765121435736,1765121435748,12
1948,1765121435762,1765121435763,1
1949,1765121435787,1765121435795,8
1950,1765121435813,1765121435826,13
1951,1765121435839,1765121435841,2
1952,1765121435864,1765121435873,9
1953,1765121435890,1765121435905,15
1954,1765121435916,1765121435921,5
1955,1765121435942,1765121435951,9
1956,1765121435968,1765121435984,16
1957,1765121435995,1765121436000,5
1958,1765121436021,1765121436030,9
1959,1765121436047,1765121436063,16
1960,1765121436073,1765121436079,6
1961,1765121436099,1765121436110,11
1962,1765121436124,1765121436125,1
1963,1765121436150,1765121436159,9
1964,1765121436176,1765121436189,13
1965,1765121436201,1765121436205,4
1966,1765121436227,1765121436236,9
1967,1765121436253,1765121436270,17
1968,1765121436279,1765121436286,7
1969,1765121436305,1765121436318,13
1970,1765121436331,1765121436333,2
1971,1765121436356,1765121436364,8
1972,1765121436382,1765121436395,13
1973,1765121436407,1765121436410,3
1974,1765121436433,1765121436441,8
1975,1765121436458,1765121436473,15
1976,1765121436484,1765121436488,4
1977,1765121436510,1765121436519,9
1978,1765121436536,1765121436551,15
1979,1765121436561,1765121436567,6
1980,1765121436588,1765121436600,12
1981,1765121436613,1765121436616,3
1982,1765121436639,1765121436648,9
1983,1765121436666,1765121436679,13
1984,1765121436692,1765121436709,17
1985,1765121436718,1765121436727,9
1986,1765121436744,1765121436758,14
1987,1765121436770,1765121436774,4
1988,1765121436795,1765121436806,11
1989,1765121436821,1765121436837,16
1990,1765121436848,1765121436852,4
1991,1765121436873,1765121436883,10
1992,1765121436899,1765121436914,15
1993,1765121436925,1765121436930,5
1994,1765121436950,1765121436962,12
1995,1765121436976,1765121436978,2
1996,1765121437002,1765121437025,23
1997,1765121437028,1765121437041,13
1998,1765121437054,1765121437071,17
1999,1765121437080,1765121437087,7
2000,1765121437105,1765121437119,14
2001,1765121437131,1765121437134,3
2002,1765121437157,1765121437166,9
2003,1765121437183,1765121437197,14
2004,1765121437209,1765121437213,4
2005,1765121437234,1765121437245,11
2006,1765121437260,1765121437261,1
2007,1765121437286,1765121437292,6
2008,1765121437311,1765121437324,13
2009,1765121437337,1765121437341,4
2010,1765121437362,1765121437371,9
2011,1765121437388,1765121437403,15
2012,1765121437414,1765121437418,4
2013,1765121437440,1765121437451,11
2014,1765121437466,1765121437467,1
2015,1765121437493,1765121437496,3
2016,1765121437519,1765121437528,9
2017,1765121437545,1765121437561,16
2018,1765121437570,1765121437577,7
2019,1765121437596,1765121437618,22
2020,1765121437622,1765121437640,18
2021,1765121437648,1765121437656,8
2022,1765121437674,1765121437689,15
2023,1765121437699,1765121437705,6
2024,1765121437725,1765121437735,10
2025,1765121437751,1765121437783,32
2026,1765121437777,1765121437783,6
2027,1765121437803,1765121437815,12
2028,1765121437828,1765121437830,2
2029,1765121437854,1765121437862,8
2030,1765121437880,1765121437892,12
2031,1765121437905,1765121437908,3
2032,1765121437930,1765121437939,9
2033,1765121437956,1765121437972,16
2034,1765121437982,1765121437988,6
2035,1765121438008,1765121438020,12
2036,1765121438033,1765121438037,4
2037,1765121438059,1765121438067,8
2038,1765121438086,1765121438097,11
2039,1765121438112,1765121438127,15
2040,1765121438139,1765121438143,4
2041,1765121438165,1765121438174,9
2042,1765121438190,1765121438206,16
2043,1765121438216,1765121438222,6
2044,1765121438242,1765121438253,11
2045,1765121438268,1765121438270,2
2046,1765121438293,1765121438301,8
2047,1765121438319,1765121438333,14
2048,1765121438345,1765121438349,4
2049,1765121438370,1765121438382,12
2050,1765121438397,1765121438397,0
2051,1765121438423,1765121438429,6
2052,1765121438448,1765121438461,13
2053,1765121438474,1765121438478,4
2054,1765121438499,1765121438509,10
2055,1765121438525,1765121438540,15
2056,1765121438551,1765121438556,5
2057,1765121438576,1765121438587,11
2058,1765121438602,1765121438618,16
2059,1765121438628,1765121438633,5
2060,1765121438653,1765121438666,13
2061,1765121438679,1765121438682,3
2062,1765121438705,1765121438715,10
2063,1765121438730,1765121438731,1
2064,1765121438756,1765121438762,6
2065,1765121438782,1765121438795,13
2066,1765121438807,1765121438811,4
2067,1765121438833,1765121438843,10
2068,1765121438859,1765121438875,16
2069,1765121438884,1765121438891,7
2070,1765121438909,1765121438922,13
2071,1765121438935,1765121438937,2
2072,1765121438961,1765121438969,8
2073,1765121438987,1765121439016,29
2074,1765121439013,1765121439016,3
2075,1765121439038,1765121439048,10
2076,1765121439064,1765121439079,15
2077,1765121439091,1765121439095,4
2078,1765121439116,1765121439126,10
2079,1765121439143,1765121439157,14
2080,1765121439169,1765121439172,3
2081,1765121439194,1765121439203,9
2082,1765121439220,1765121439234,14
2083,1765121439245,1765121439250,5
2084,1765121439271,1765121439282,11
2085,1765121439296,1765121439298,2
2086,1765121439322,1765121439329,7
2087,1765121439347,1765121439360,13
2088,1765121439373,1765121439377,4
2089,1765121439398,1765121439409,11
2090,1765121439424,1765121439440,16
2091,1765121439450,1765121439456,6
2092,1765121439475,1765121439487,12
2093,1765121439501,1765121439503,2
2094,1765121439526,1765121439535,9
2095,1765121439552,1765121439566,14
2096,1765121439577,1765121439583,6
2097,1765121439603,1765121439613,10
2098,1765121439629,1765121439645,16
2099,1765121439655,1765121439661,6
2100,1765121439681,1765121439693,12
2101,1765121439707,1765121439709,2
2102,1765121439733,1765121439740,7
2103,1765121439758,1765121439771,13
2104,1765121439784,1765121439787,3
2105,1765121439809,1765121439819,10
2106,1765121439836,1765121439853,17
2107,1765121439862,1765121439868,6
2108,1765121439888,1765121439899,11
2109,1765121439914,1765121439915,1
2110,1765121439939,1765121439948,9
2111,1765121439965,1765121439980,15
2112,1765121439990,1765121439996,6
2113,1765121440016,1765121440027,11
2114,1765121440042,1765121440043,1
2115,1765121440068,1765121440074,6
2116,1765121440093,1765121440105,12
2117,1765121440119,1765121440121,2
2118,1765121440144,1765121440168,24
2119,1765121440170,1765121440183,13
2120,1765121440196,1765121440200,4
2121,1765121440221,1765121440232,11
2122,1765121440247,1765121440263,16
2123,1765121440273,1765121440279,6
2124,1765121440298,1765121440310,12
2125,1765121440324,1765121440325,1
2126,1765121440350,1765121440357,7
2127,1765121440375,1765121440389,14
2128,1765121440401,1765121440405,4
2129,1765121440427,1765121440437,10
2130,1765121440452,1765121440468,16
2131,1765121440478,1765121440484,6
2132,1765121440503,1765121440515,12
2133,1765121440529,1765121440531,2
2134,1765121440554,1765121440563,9
2135,1765121440580,1765121440594,14
2136,1765121440606,1765121440610,4
2137,1765121440631,1765121440641,10
2138,1765121440657,1765121440673,16
2139,1765121440682,1765121440688,6
2140,1765121440708,1765121440720,12
2141,1765121440734,1765121440735,1
2142,1765121440760,1765121440766,6
2143,1765121440786,1765121440800,14
2144,1765121440812,1765121440816,4
2145,1765121440837,1765121440848,11
2146,1765121440863,1765121440879,16
