snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
305,1765121393519,1765121393539,20
306,1765121393544,1765121393556,12
307,1765121393570,1765121393581,11
308,1765121393595,1765121393598,3
309,1765121393621,1765121393628,7
310,1765121393647,1765121393661,14
311,1765121393672,1765121393678,6
312,1765121393698,1765121393709,11
313,1765121393724,1765121393725,1
314,1765121393750,1765121393756,6
315,1765121393776,1765121393788,12
316,1765121393802,1765121393805,3
317,1765121393828,1765121393851,23
318,1765121393853,1765121393867,14
319,1765121393878,1765121393883,5
320,1765121393904,1765121393915,11
321,1765121393929,1765121393931,2
322,1765121393955,1765121393964,9
323,1765121393980,1765121393997,17
324,1765121394006,1765121394013,7
325,1765121394032,1765121394046,14
326,1765121394057,1765121394061,4
327,1765121394083,1765121394094,11
328,1765121394109,1765121394109,0
329,1765121394135,1765121394141,6
330,1765121394161,1765121394174,13
331,1765121394186,1765121394190,4
332,1765121394217,1765121394221,4
333,1765121394243,1765121394252,9
334,1765121394269,1765121394284,15
335,1765121394295,1765121394299,4
336,1765121394321,1765121394330,9
337,1765121394347,1765121394348,1
338,1765121394372,1765121394379,7
339,1765121394398,1765121394410,12
340,1765121394423,1765121394426,3
341,1765121394448,1765121394458,10
342,1765121394474,1765121394489,15
343,1765121394500,1765121394505,5
344,1765121394525,1765121394537,12
345,1765121394551,1765121394553,2
346,1765121394576,1765121394583,7
347,1765121394601,1765121394616,15
348,1765121394627,1765121394632,5
349,1765121394653,1765121394663,10
350,1765121394679,1765121394679,0
351,1765121394704,1765121394710,6
352,1765121394730,1765121394741,11
353,1765121394755,1765121394756,1
354,1765121394781,1765121394787,6
355,1765121394806,1765121394819,13
356,1765121394832,1765121394834,2
357,1765121394857,1765121394867,10
358,1765121394883,1765121394898,15
359,1765121394909,1765121394914,5
360,1765121394935,1765121394946,11
361,1765121394961,1765121394961,0
362,1765121394987,1765121395004,17
363,1765121395013,1765121395024,11
364,1765121395039,1765121395040,1
365,1765121395064,1765121395073,9
366,1765121395089,1765121395104,15
367,1765121395115,1765121395121,6
368,1765121395140,1765121395152,12
369,1765121395166,1765121395168,2
370,1765121395192,1765121395202,10
371,1765121395218,1765121395229,11
372,1765121395243,1765121395245,2
373,1765121395269,1765121395276,7
374,1765121395295,1765121395309,14
375,1765121395320,1765121395324,4
376,1765121395346,1765121395353,7
377,1765121395371,1765121395387,16
378,1765121395397,1765121395404,7
379,1765121395422,1765121395435,13
380,1765121395448,1765121395452,4
381,1765121395473,1765121395484,11
382,1765121395499,1765121395515,16
383,1765121395526,1765121395532,6
384,1765121395551,1765121395563,12
385,1765121395577,1765121395578,1
386,1765121395602,1765121395609,7
387,1765121395628,1765121395641,13
388,1765121395654,1765121395657,3
389,1765121395679,1765121395847,168
390,1765121395705,1765121395847,142
391,1765121395731,1765121395847,116
392,1765121395757,1765121395847,90
393,1765121395782,1765121395847,65
394,1765121395808,1765121395847,39
395,1765121395834,1765121395847,13
396,1765121395859,1765121395868,9
397,1765121395885,1765121395900,15
398,1765121395910,1765121395916,6
399,1765121395936,1765121395949,13
400,1765121395961,1765121395964,3
401,1765121395987,1765121395999,12
402,1765121396012,1765121396019,7
403,1765121396038,1765121396054,16
404,1765121396064,1765121396070,6
405,1765121396089,1765121396103,14
406,1765121396115,1765121396119,4
407,1765121396140,1765121396145,5
408,1765121396166,1765121396176,10
409,1765121396192,1765121396192,0
410,1765121396218,1765121396238,20
411,1765121396244,1765121396269,25
412,1765121396270,1765121396285,15
413,1765121396295,1765121396301,6
414,1765121396321,1765121396332,11
415,1765121396346,1765121396351,5
416,1765121396372,1765121396393,21
417,1765121396397,1765121396409,12
418,1765121396423,1765121396425,2
419,1765121396448,1765121396456,8
420,1765121396473,1765121396487,14
421,1765121396498,1765121396503,5
422,1765121396524,1765121396546,22
423,1765121396549,1765121396566,17
424,1765121396575,1765121396582,7
425,1765121396600,1765121396613,13
426,1765121396626,1765121396629,3
427,1765121396651,1765121396660,9
428,1765121396677,1765121396692,15
429,1765121396702,1765121396708,6
430,1765121396727,1765121396739,12
431,1765121396753,1765121396755,2
432,1765121396778,1765121396787,9
433,1765121396804,1765121396818,14
434,1765121396830,1765121396849,19
435,1765121396856,1765121396864,8
436,1765121396881,1765121396897,16
437,1765121396907,1765121396924,17
438,1765121396933,1765121396944,11
439,1765121396958,1765121396960,2
440,1765121396984,1765121396994,10
441,1765121397009,1765121397010,1
442,1765121397035,1765121397036,1
443,1765121397060,1765121397071,11
444,1765121397086,1765121397099,13
445,1765121397111,1765121397118,7
446,1765121397137,1765121397149,12
447,1765121397162,1765121397165,3
448,1765121397188,1765121397199,11
449,1765121397215,1765121397215,0
450,1765121397241,1765121397260,19
451,1765121397267,1765121397277,10
452,1765121397293,1765121397294,1
453,1765121397319,1765121397331,12
454,1765121397345,1765121397357,12
455,1765121397370,1765121397373,3
456,1765121397396,1765121397418,22
457,1765121397421,1765121397443,22
458,1765121397446,1765121397465,19
