snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
7454,1765121702376,1765121702386,10
7455,1765121702401,1765121702407,6
7456,1765121702427,1765121702430,3
7457,1765121702452,1765121702462,10
7458,1765121702478,1765121702494,16
7459,1765121702503,1765121702509,6
7460,1765121702529,1765121702540,11
7461,1765121702554,1765121702557,3
7462,1765121702580,1765121702588,8
7463,1765121702606,1765121702620,14
7464,1765121702631,1765121702635,4
7465,1765121702657,1765121702667,10
7466,1765121702682,1765121702698,16
7467,1765121702708,1765121702713,5
7468,1765121702733,1765121702744,11
7469,1765121702759,1765121702760,1
7470,1765121702784,1765121702792,8
7471,1765121702810,1765121702823,13
7472,1765121702835,1765121702838,3
7473,1765121702861,1765121702870,9
7474,1765121702887,1765121702902,15
7475,1765121702912,1765121702918,6
7476,1765121702938,1765121702950,12
7477,1765121702963,1765121702966,3
7478,1765121702989,1765121702997,8
7479,1765121703014,1765121703029,15
7480,1765121703040,1765121703045,5
7481,1765121703065,1765121703076,11
7482,1765121703091,1765121703091,0
7483,1765121703116,1765121703123,7
7484,1765121703142,1765121703156,14
7485,1765121703168,1765121703172,4
7486,1765121703193,1765121703204,11
7487,1765121703219,1765121703236,17
7488,1765121703245,1765121703251,6
7489,1765121703270,1765121703282,12
7490,1765121703296,1765121703298,2
7491,1765121703322,1765121703331,9
7492,1765121703348,1765121703363,15
7493,1765121703373,1765121703379,6
7494,1765121703399,1765121703424,25
7495,1765121703425,1765121703440,15
7496,1765121703451,1765121703458,7
7497,1765121703477,1765121703487,10
7498,1765121703503,1765121703519,16
7499,1765121703528,1765121703535,7
7500,1765121703554,1765121703566,12
7501,1765121703581,1765121703582,1
7502,1765121703607,1765121703614,7
7503,1765121703633,1765121703646,13
7504,1765121703658,1765121703662,4
7505,1765121703684,1765121703693,9
7506,1765121703710,1765121703725,15
7507,1765121703736,1765121703743,7
7508,1765121703762,1765121703775,13
7509,1765121703788,1765121703791,3
7510,1765121703813,1765121703823,10
7511,1765121703839,1765121703855,16
7512,1765121703865,1765121703872,7
7513,1765121703891,1765121703903,12
7514,1765121703917,1765121703919,2
7515,1765121703943,1765121703965,22
7516,1765121703968,1765121703981,13
7517,1765121703994,1765121703997,3
7518,1765121704020,1765121704029,9
7519,1765121704045,1765121704061,16
7520,1765121704071,1765121704077,6
7521,1765121704096,1765121704109,13
7522,1765121704122,1765121704126,4
7523,1765121704148,1765121704157,9
7524,1765121704174,1765121704190,16
7525,1765121704200,1765121704206,6
7526,1765121704226,1765121704252,26
7527,1765121704252,1765121704269,17
7528,1765121704278,1765121704284,6
7529,1765121704304,1765121704316,12
7530,1765121704330,1765121704332,2
7531,1765121704356,1765121704363,7
7532,1765121704382,1765121704397,15
7533,1765121704408,1765121704412,4
7534,1765121704433,1765121704444,11
7535,1765121704459,1765121704461,2
