snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
379,1765111022990,1765111023011,21
380,1765111023015,1765111023026,11
381,1765111023041,1765111023052,11
382,1765111023066,1765111023069,3
383,1765111023091,1765111023102,11
384,1765111023118,1765111023118,0
385,1765111023144,1765111023149,5
386,1765111023169,1765111023196,27
387,1765111023195,1765111023196,1
388,1765111023221,1765111023230,9
389,1765111023246,1765111023265,19
390,1765111023272,1765111023280,8
391,1765111023297,1765111023308,11
392,1765111023323,1765111023340,17
393,1765111023349,1765111023356,7
394,1765111023375,1765111023388,13
395,1765111023400,1765111023404,4
396,1765111023425,1765111023436,11
397,1765111023451,1765111023467,16
398,1765111023477,1765111023483,6
399,1765111023502,1765111023515,13
400,1765111023528,1765111023531,3
401,1765111023553,1765111023561,8
402,1765111023579,1765111023592,13
403,1765111023604,1765111023609,5
404,1765111023630,1765111023641,11
405,1765111023655,1765111023657,2
406,1765111023681,1765111023689,8
407,1765111023706,1765111023720,14
408,1765111023732,1765111023750,18
409,1765111023757,1765111023766,9
410,1765111023783,1765111023798,15
411,1765111023808,1765111023813,5
412,1765111023835,1765111023847,12
413,1765111023860,1765111023863,3
414,1765111023886,1765111023897,11
415,1765111023912,1765111023928,16
416,1765111023939,1765111023944,5
417,1765111023965,1765111023992,27
418,1765111023992,1765111024009,17
419,1765111024018,1765111024025,7
420,1765111024044,1765111024058,14
421,1765111024069,1765111024089,20
422,1765111024095,1765111024106,11
423,1765111024121,1765111024121,0
424,1765111024147,1765111024153,6
425,1765111024172,1765111024184,12
426,1765111024198,1765111024200,2
427,1765111024224,1765111024233,9
428,1765111024250,1765111024267,17
429,1765111024276,1765111024283,7
430,1765111024302,1765111024315,13
431,1765111024327,1765111024330,3
432,1765111024353,1765111024364,11
433,1765111024379,1765111024379,0
434,1765111024404,1765111024410,6
435,1765111024430,1765111024442,12
436,1765111024455,1765111024458,3
437,1765111024481,1765111024488,7
438,1765111024507,1765111024521,14
439,1765111024532,1765111024537,5
440,1765111024558,1765111024569,11
441,1765111024584,1765111024585,1
442,1765111024611,1765111024618,7
443,1765111024637,1765111024649,12
444,1765111024663,1765111024665,2
445,1765111024689,1765111024696,7
446,1765111024716,1765111024728,12
447,1765111024742,1765111024744,2
448,1765111024768,1765111024774,6
449,1765111024794,1765111024807,13
450,1765111024820,1765111024822,2
451,1765111024846,1765111024854,8
452,1765111024872,1765111024886,14
453,1765111024897,1765111024902,5
454,1765111024923,1765111024934,11
455,1765111024950,1765111024965,15
456,1765111024976,1765111024980,4
457,1765111025001,1765111025014,13
458,1765111025027,1765111025030,3
459,1765111025052,1765111025062,10
460,1765111025078,1765111025094,16
461,1765111025104,1765111025112,8
462,1765111025130,1765111025157,27
463,1765111025157,1765111025158,1
464,1765111025183,1765111025189,6
465,1765111025209,1765111025221,12
466,1765111025234,1765111025237,3
467,1765111025260,1765111025270,10
468,1765111025286,1765111025303,17
469,1765111025312,1765111025319,7
470,1765111025337,1765111025350,13
471,1765111025363,1765111025365,2
472,1765111025389,1765111025398,9
473,1765111025415,1765111025430,15
474,1765111025440,1765111025446,6
475,1765111025466,1765111025479,13
476,1765111025491,1765111025495,4
477,1765111025517,1765111025526,9
478,1765111025543,1765111025558,15
479,1765111025569,1765111025587,18
480,1765111025595,1765111025603,8
481,1765111025621,1765111025633,12
482,1765111025647,1765111025648,1
483,1765111025672,1765111025681,9
484,1765111025698,1765111025713,15
485,1765111025723,1765111025729,6
486,1765111025749,1765111025760,11
487,1765111025775,1765111025789,14
488,1765111025800,1765111025805,5
489,1765111025826,1765111025837,11
490,1765111025851,1765111025852,1
491,1765111025877,1765111025884,7
492,1765111025902,1765111025915,13
493,1765111025928,1765111025932,4
494,1765111025953,1765111025963,10
495,1765111025979,1765111025994,15
496,1765111026005,1765111026009,4
497,1765111026031,1765111026041,10
498,1765111026056,1765111026056,0
499,1765111026082,1765111026087,5
500,1765111026107,1765111026120,13
501,1765111026133,1765111026136,3
502,1765111026158,1765111026168,10
503,1765111026184,1765111026200,16
504,1765111026210,1765111026216,6
505,1765111026235,1765111026247,12
506,1765111026261,1765111026264,3
507,1765111026287,1765111026295,8
508,1765111026312,1765111026326,14
